178 recordings, 16853 sequences, threads=12
    epoch 26 train_loss=0.0488 val_mpjpe=0.1204 (35s)
    epoch 27 train_loss=0.0487 val_mpjpe=0.1134 (35s)
    epoch 28 train_loss=0.0487 val_mpjpe=0.1166 (34s)
    epoch 29 train_loss=0.0485 val_mpjpe=0.1215 (35s)
    epoch 30 train_loss=0.0483 val_mpjpe=0.1165 (37s)
    epoch 31 train_loss=0.0480 val_mpjpe=0.1184 (37s)
    epoch 32 train_loss=0.0480 val_mpjpe=0.1173 (36s)
    epoch 33 train_loss=0.0478 val_mpjpe=0.1192 (35s)
    epoch 34 train_loss=0.0477 val_mpjpe=0.1172 (36s)
    epoch 35 train_loss=0.0476 val_mpjpe=0.1175 (35s)
    {'best_epoch': 25, 'val_mpjpe': 0.11158972978591919}
[fold 3] train=129 inner-val=14 held-out=35
    epoch  1 train_loss=0.1067 val_mpjpe=0.1704 (33s)
    epoch  2 train_loss=0.0867 val_mpjpe=0.1634 (33s)
    epoch  3 train_loss=0.0776 val_mpjpe=0.1684 (33s)
    epoch  4 train_loss=0.0742 val_mpjpe=0.1573 (33s)
    epoch  5 train_loss=0.0702 val_mpjpe=0.1813 (35s)
    epoch  6 train_loss=0.0673 val_mpjpe=0.1910 (34s)
    epoch  7 train_loss=0.0657 val_mpjpe=0.1909 (32s)
    epoch  8 train_loss=0.0629 val_mpjpe=0.1847 (32s)
    epoch  9 train_loss=0.0611 val_mpjpe=0.1813 (32s)
    epoch 10 train_loss=0.0588 val_mpjpe=0.1869 (32s)
    epoch 11 train_loss=0.0572 val_mpjpe=0.1788 (32s)
    epoch 12 train_loss=0.0566 val_mpjpe=0.1800 (32s)
    epoch 13 train_loss=0.0558 val_mpjpe=0.1756 (32s)
    epoch 14 train_loss=0.0554 val_mpjpe=0.1655 (32s)
    epoch 15 train_loss=0.0545 val_mpjpe=0.1723 (32s)
    epoch 16 train_loss=0.0536 val_mpjpe=0.1727 (32s)
    epoch 17 train_loss=0.0537 val_mpjpe=0.1786 (32s)
    epoch 18 train_loss=0.0533 val_mpjpe=0.1722 (32s)
    epoch 19 train_loss=0.0528 val_mpjpe=0.1751 (32s)
    epoch 20 train_loss=0.0523 val_mpjpe=0.1715 (32s)
    epoch 21 train_loss=0.0519 val_mpjpe=0.1752 (32s)
    epoch 22 train_loss=0.0521 val_mpjpe=0.1724 (32s)
    epoch 23 train_loss=0.0518 val_mpjpe=0.1733 (32s)
    epoch 24 train_loss=0.0516 val_mpjpe=0.1733 (32s)
    epoch 25 train_loss=0.0512 val_mpjpe=0.1747 (32s)
    epoch 26 train_loss=0.0516 val_mpjpe=0.1729 (32s)
    epoch 27 train_loss=0.0510 val_mpjpe=0.1730 (32s)
    epoch 28 train_loss=0.0509 val_mpjpe=0.1747 (32s)
    epoch 29 train_loss=0.0508 val_mpjpe=0.1739 (32s)
    epoch 30 train_loss=0.0508 val_mpjpe=0.1729 (32s)
    {'best_epoch': 20, 'val_mpjpe': 0.17152857780456543}
[fold 4] train=129 inner-val=14 held-out=35
    epoch  1 train_loss=0.1050 val_mpjpe=0.1348 (30s)
    epoch  2 train_loss=0.0899 val_mpjpe=0.1505 (31s)
    epoch  3 train_loss=0.0792 val_mpjpe=0.1311 (30s)
    epoch  4 train_loss=0.0733 val_mpjpe=0.1365 (30s)
    epoch  5 train_loss=0.0711 val_mpjpe=0.1378 (30s)
    epoch  6 train_loss=0.0674 val_mpjpe=0.1385 (30s)
    epoch  7 train_loss=0.0656 val_mpjpe=0.1729 (30s)
    epoch  8 train_loss=0.0646 val_mpjpe=0.1619 (30s)
    epoch  9 train_loss=0.0601 val_mpjpe=0.1477 (30s)
    epoch 10 train_loss=0.0599 val_mpjpe=0.1361 (30s)
    epoch 11 train_loss=0.0581 val_mpjpe=0.1344 (30s)
    epoch 12 train_loss=0.0572 val_mpjpe=0.1406 (31s)
    epoch 13 train_loss=0.0573 val_mpjpe=0.1380 (30s)
    epoch 14 train_loss=0.0550 val_mpjpe=0.1439 (30s)
    epoch 15 train_loss=0.0548 val_mpjpe=0.1435 (30s)
    epoch 16 train_loss=0.0545 val_mpjpe=0.1468 (30s)
    epoch 17 train_loss=0.0541 val_mpjpe=0.1477 (30s)
    epoch 18 train_loss=0.0539 val_mpjpe=0.1485 (30s)
    epoch 19 train_loss=0.0530 val_mpjpe=0.1407 (30s)
    epoch 20 train_loss=0.0529 val_mpjpe=0.1436 (30s)
    epoch 21 train_loss=0.0528 val_mpjpe=0.1483 (30s)
    epoch 22 train_loss=0.0522 val_mpjpe=0.1419 (30s)
    epoch 23 train_loss=0.0523 val_mpjpe=0.1440 (30s)
    epoch 24 train_loss=0.0519 val_mpjpe=0.1439 (30s)
    epoch 25 train_loss=0.0520 val_mpjpe=0.1443 (30s)
    epoch 26 train_loss=0.0518 val_mpjpe=0.1411 (30s)
    epoch 27 train_loss=0.0517 val_mpjpe=0.1427 (30s)
    epoch 28 train_loss=0.0515 val_mpjpe=0.1442 (30s)
    epoch 29 train_loss=0.0515 val_mpjpe=0.1412 (30s)
    epoch 30 train_loss=0.0515 val_mpjpe=0.1431 (30s)
    epoch 31 train_loss=0.0516 val_mpjpe=0.1385 (30s)
    epoch 32 train_loss=0.0516 val_mpjpe=0.1401 (30s)
    epoch 33 train_loss=0.0514 val_mpjpe=0.1444 (30s)
    epoch 34 train_loss=0.0510 val_mpjpe=0.1426 (30s)
    epoch 35 train_loss=0.0511 val_mpjpe=0.1419 (30s)
    epoch 36 train_loss=0.0511 val_mpjpe=0.1419 (30s)
    epoch 37 train_loss=0.0512 val_mpjpe=0.1414 (30s)
    epoch 38 train_loss=0.0512 val_mpjpe=0.1415 (30s)
    epoch 39 train_loss=0.0511 val_mpjpe=0.1423 (30s)
    epoch 40 train_loss=0.0512 val_mpjpe=0.1416 (30s)
    epoch 41 train_loss=0.0508 val_mpjpe=0.1418 (30s)
    {'best_epoch': 31, 'val_mpjpe': 0.13853758573532104}
